REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X19_0EX5_0229Kronos_MM1S.KB.24hr.1_H3K27Ac_hs.dm_i39.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
6_MACS_peak_17319_lociStitched	chr3	141079096	141160745	6	74219	695967.9111	17579.0297	1	ZBTB38	RASA2	ZBTB38	ZBTB38	5.0249999999999995	1	1
7_MACS_peak_2032_lociStitched	chr1	203236278	203298424	7	40550	593724.2402	20644.9012	2	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	10.1212	2	1
5_MACS_peak_12735_lociStitched	chr2	37514981	37588550	5	58674	415981.1967	15765.8367	3	QPCT,PRKD3		PRKD3	PRKD3	1.6348	3	1
11_MACS_peak_8825_lociStitched	chr16	11754714	11843335	11	74096	405485.3855	17006.3699	4	SNN,TXNDC11	ZC3H7A	SNN	SNN	4.077800000000001	4	1
5_MACS_peak_1237_lociStitched	chr1	118141907	118219403	5	61110	346980.5904	9415.764	5	FAM46C		FAM46C	FAM46C	4.3984	5	1
3_MACS_peak_10023_lociStitched	chr17	32688367	32727274	3	33922	344167.4313	9800.6733	6	CCL1	CCL8,CCL13	CCL1	CCL1	3.6761	6	1
10_MACS_peak_15688_lociStitched	chr22	23188609	23248961	10	47579	329383.1104	8539.808	7	IGLL5	MIR650	IGLL5	IGLL5	10.8313	7	1
3_MACS_peak_18508_lociStitched	chr4	90204978	90246772	3	30835	306408.5316	9081.8362	8	GPRIN3		GPRIN3	GPRIN3	3.8503000000000003	8	1
3_MACS_peak_13347_lociStitched	chr2	99054612	99108430	3	49307	295848.3096	11899.1598	9	INPP4A		INPP4A	INPP4A	1.9912	9	1
8_MACS_peak_7487_lociStitched	chr14	91812915	91886114	8	61488	289040.8913	8198.288	10	CCDC88C		CCDC88C	CCDC88C	1.9715999999999998	10	1
6_MACS_peak_9820_lociStitched	chr17	16847897	16895580	6	32954	262013.3167	9126.5262	11	TNFRSF13B		TNFRSF13B	TNFRSF13B	3.5448000000000004	11	1
5_MACS_peak_1513_lociStitched	chr1	154907896	154957929	5	36903	257354.7421	13969.2136	12	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	PYGO2	4.822900000000001	12	1
2_MACS_peak_7629_lociStitched	chr14	106024472	106052942	2	26993	248861.964	5565.885	13		TMEM121	TMEM121	TMEM121	0.015199999999999991	13	1
1_MACS_peak_20648_lociStitched	chr6	7879142	7919804	1	40663	249229.5966	9771.0786	14	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	4.8003	14	1
3_MACS_peak_14780_lociStitched	chr20	30261713	30312440	3	46517	247243.398	11504.8836	15	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	3.5223	15	1
2_MACS_peak_15698_lociStitched	chr22	23269400	23286071	2	16188	238988.7876	4189.4223	16		IGLL5	IGLL5	IGLL5	10.8313	16	1
5_MACS_peak_10066_lociStitched	chr17	34597614	34641732	5	37617	238184.2584	11236.8546	17	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	17	1
3_MACS_peak_10062_lociStitched	chr17	34509591	34540256	3	26524	234277.5335	8868.318	18	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	7.9338	18	1
1_MACS_peak_2633_lociStitched	chr10	11202397	11224043	1	21647	231157.634	6398.5576	19	CELF2		CELF2	CELF2	0.9719999999999999	19	1
3_MACS_peak_15719_lociStitched	chr22	24176697	24200900	3	16574	228212.5073	4859.9624	20	SMARCB1,SLC2A11,DERL3	MIF	DERL3	DERL3	2.2867	20	1
4_MACS_peak_21590_lociStitched	chr6	108878354	108961013	4	77459	231230.2866	13605.6714	21	FOXO3		FOXO3	FOXO3	2.046	21	1
4_MACS_peak_10951_lociStitched	chr18	9054643	9085266	4	19227	219695.5266	6372.6463	22		NDUFV2	NDUFV2	NDUFV2	4.0224	22	1
5_MACS_peak_2088_lociStitched	chr1	206271968	206311041	5	24384	221344.6377	10838.8502	23	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	2.7231	23	1
6_MACS_peak_10955_lociStitched	chr18	9095096	9157557	6	50859	220812.1272	12891.9504	24	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.5699	24	1
5_MACS_peak_3529_lociStitched	chr10	112600035	112633392	5	23078	213631.5708	6688.0785	25	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	6.3968	25	1
4_MACS_peak_6078_lociStitched	chr12	109009379	109036401	4	23015	207223.6114	6258.2952	26	SELPLG	TMEM119	SELPLG	SELPLG	8.772300000000001	26	1
2_MACS_peak_3931_lociStitched	chr11	22676707	22704600	2	23887	201638.497	4973.3219	27	GAS2	FANCF	GAS2	GAS2	1.2465	27	1
1_MACS_peak_4274_lociStitched	chr11	65183305	65200047	1	16743	199889.4348	4726.2666	28	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	12.4837	28	1
1_MACS_peak_13948_lociStitched	chr2	182168182	182180648	1	12467	197930.1616	3026.7448	29			ITGA4	ITGA4	0.36550000000000005	29	1
5_MACS_peak_23010_lociStitched	chr7	102062846	102093328	5	25813	196861.9006	6044.5806	30	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	3.3430999999999997	30	1
2_MACS_peak_4443_lociStitched	chr11	72850493	72870202	2	14808	194378.0416	4247.2895	31	FCHSD2		FCHSD2	FCHSD2	0.1674	31	1
6_MACS_peak_20541_lociStitched	chr6	289975	337949	6	33358	203184.2822	15505.1968	32	DUSP22		DUSP22	DUSP22	2.6763	32	1
3_MACS_peak_17261_lociStitched	chr3	133178967	133201183	3	18125	192601.612	5329.6184	33	BFSP2		BFSP2	BFSP2	2.342	33	1
3_MACS_peak_20026_lociStitched	chr5	131744619	131774527	3	24626	193764.9596	6690.4196	34	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	4.4957	34	1
3_MACS_peak_14927_lociStitched	chr20	37486601	37506394	3	14484	190947.0296	4053.6064	35	PPP1R16B	FAM83D	FAM83D	FAM83D	0.018699999999999994	35	1
3_MACS_peak_24338_lociStitched	chr8	120915106	120948957	3	32906	193323.061	6502.7771	36	DEPDC6	DSCC1	DEPDC6	DEPDC6	1.3620999999999999	36	1
1_MACS_peak_5161_lociStitched	chr12	12866113	12882138	1	16026	188989.235	3733.825	37	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	12.2698	37	1
2_MACS_peak_9274_lociStitched	chr16	66548991	66560966	2	11784	186384.8875	3094.34	38	TK2	CKLF,CMTM1	TK2	TK2	3.9696	38	1
4_MACS_peak_7636_lociStitched	chr14	106143797	106173264	4	25282	185450.5645	3871.9638	39			TMEM121	TMEM121	0.015199999999999991	39	1
5_MACS_peak_18301_lociStitched	chr4	71515064	71555236	5	25897	188736.0904	8219.1912	40	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	3.8233	40	1
7_MACS_peak_17684_lociStitched	chr3	183220101	183261507	7	29769	191084.5494	11440.4778	41	KLHL6		KLHL6	KLHL6	2.8374	41	1
3_MACS_peak_8843_lociStitched	chr16	12052284	12072665	3	15519	181861.7011	4312.6196	42	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	13.1184	42	1
2_MACS_peak_10151_lociStitched	chr17	38459047	38484344	2	21203	182722.7607	5284.5433	43	CDC6,RARA	RARA,GJD3	RARA	RARA	3.0449	43	1
1_MACS_peak_20816_lociStitched	chr6	25402633	25415553	1	12921	179197.816	3824.32	44	LRRC16A		LRRC16A	LRRC16A	0.7093	44	1
2_MACS_peak_17553_lociStitched	chr3	171801697	171827278	2	21646	180036.5199	7369.8861	45	FNDC3B		FNDC3B	FNDC3B	0.4798	45	1
3_MACS_peak_282_lociStitched	chr1	24512099	24533983	3	16496	176901.5024	4788.2192	46	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	2.3446	46	1
6_MACS_peak_20029_lociStitched	chr5	131789537	131837969	6	32056	181377.84	9894.6576	47	C5orf56,IRF1	IL5	IRF1	IRF1	1.1404	47	1
1_MACS_peak_21558_lociStitched	chr6	106530224	106556246	1	26023	175453.335	6104.7612	48	PRDM1		PRDM1	PRDM1	5.0478000000000005	48	1
1_MACS_peak_15478_lociStitched	chr21	41324428	41344368	1	19941	175370.306	6691.864	49			PCP4	PCP4	0.33429999999999993	49	1
1_MACS_peak_15494_lociStitched	chr21	43480081	43486873	1	6793	169859.7696	2837.0184	50	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	2.1316	50	1
1_MACS_peak_19044_lociStitched	chr4	185200807	185211504	1	10698	169702.5565	3083.9451	51			ENPP6	NONE	NONE	51	1
5_MACS_peak_14822_lociStitched	chr20	32398778	32449174	5	37118	174864.0408	10089.2792	52	CHMP4B		CHMP4B	CHMP4B	2.6654	52	1
2_MACS_peak_1418_lociStitched	chr1	150532224	150553309	2	17630	171878.5945	7270.108	53	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.3768	53	1
3_MACS_peak_13025_lociStitched	chr2	65156905	65178675	3	15394	168192.843	5370.659	54	LOC400958	SLC1A4	LOC400958	LOC400958	3.0311000000000003	54	1
1_MACS_peak_18153_lociStitched	chr4	40191010	40209894	1	18885	167008.2076	4968.3804	55	RHOH		RHOH	RHOH	2.6321	55	1
