GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
NM_024408	chr1(.):120449175-120617276	0.1482
NM_002585	chr1(.):164523801-164826045	0.1584
NR_026567	chr1(.):17012712-17051652	0.2301
NM_001113348	chr1(.):21538739-21677034	0.1135
NM_004091	chr1(.):23827921-23862713	0.151
NM_002379	chr1(.):31179123-31201432	0.1421
NR_034182	chr1(.):31186618-31204593	0.1454
NM_002600	chr1(.):66253855-66845262	0.1151
NM_001037341	chr1(.):66253192-66845262	0.1151
NM_001037340	chr1(.):66453389-66845262	0.1228
NR_034178	chr1(.):143910747-144099477	0.1989
NM_203458	chr1(.):145204110-145290912	0.3947
NM_153713	chr1(.):145472084-145504091	0.1895
NM_207168	chr1(.):150594521-150607098	0.2378
NM_020524	chr1(.):154911558-154933567	0.3052
NM_181359	chr1(.):154372668-154445188	0.213
NM_002249	chr1(.):154674914-154847754	0.2101
NM_170782	chr1(.):154674914-154837338	0.2094
NM_004736	chr1(.):180596145-180864415	0.1578
NM_015149	chr1(.):183600207-183902666	0.1933
NM_025191	chr1(.):184654624-184729041	0.2054
NM_144977	chr1(.):197516384-197749623	0.1777
NM_001195215	chr1(.):197468878-197749623	0.1776
NM_182663	chr1(.):206675878-206767616	0.2172
NM_002221	chr1(.):226814390-226931876	0.2011
NM_004481	chr1(.):230197955-230422875	0.1754
NR_026752	chr1(.):16939750-16962401	0.4647
NR_027504	chr1(.):16967068-16981915	0.4694
NR_002729	chr1(.):17076400-17095975	0.2442
NM_014675	chr1(.):17243444-17304474	0.1368
NM_001397	chr1(.):21538739-21621982	0.1131
NM_001113347	chr1(.):21538739-21611183	0.1024
NM_001113349	chr1(.):21538739-21621766	0.1123
NM_017707	chr1(.):23750055-23815750	0.0953
NM_002167	chr1(.):23879408-23891322	0.1688
NM_006015	chr1(.):27017521-27113601	0.1573
NM_006762	chr1(.):31200314-31235683	0.191
NM_001198979	chr1(.):40854016-40893998	0.1278
NM_001198978	chr1(.):40835304-40893998	0.1498
NM_001198980	chr1(.):40857471-40893998	0.1182
NM_022733	chr1(.):40834377-40893998	0.1493
NM_001037339	chr1(.):66792792-66845262	0.1613
NM_017709	chr1(.):118143603-118176011	0.1407
NM_001123068	chr1(.):143762143-143772881	0.1644
NR_027469	chr1(.):143713512-143749587	0.1758
NR_027468	chr1(.):143713512-143749457	0.1756
NM_032305	chr1(.):145451235-145475387	0.2642
NM_202004	chr1(.):145408190-145422545	0.1609
NM_006472	chr1(.):145433461-145447628	0.2603
NM_001039888	chr1(.):145465507-145480647	0.2451
NR_027468	chr1(.):147901021-147936980	0.1565
NM_001161334	chr1(.):149749244-149788928	0.1634
NM_001034077	chr1(.):149799220-149809616	0.2395
NM_001005464	chr1(.):149807258-149817765	0.267
NM_001040874	chr1(.):149808784-149819318	0.2624
NM_001123375	chr1(.):149779779-149790236	0.2238
NM_000566	chr1(.):149749249-149769074	0.1374
NM_005850	chr1(.):149890210-149904702	0.2149
NM_016074	chr1(.):149866154-149877348	0.1948
NM_003528	chr1(.):149851009-149863232	0.2983
NM_003517	chr1(.):149853524-149863961	0.3099
NM_175065	chr1(.):149854018-149864466	0.3034
NM_014849	chr1(.):149869871-149894434	0.1579
NM_181873	chr1(.):149895542-149913266	0.2373
NM_001145862	chr1(.):149895542-149913791	0.234
NR_036461	chr1(.):149816758-149827340	0.2818
NM_001040874	chr1(.):149817627-149828161	0.2914
NM_001005464	chr1(.):149819180-149829687	0.2918
