GENE_ID	locusLine	bin_1_35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
3_MACS_peak_1_lociStitched	chr1(.):9886-16088	0.3404
1_MACS_peak_4_lociStitched	chr1(.):28347-30223	0.2469
1_MACS_peak_5_lociStitched	chr1(.):437440-438535	0.1304
1_MACS_peak_6_lociStitched	chr1(.):449223-449741	0.1345
1_MACS_peak_7_lociStitched	chr1(.):533127-533984	0.1293
2_MACS_peak_8_lociStitched	chr1(.):540327-546719	0.0898
1_MACS_peak_10_lociStitched	chr1(.):712938-715567	0.2065
1_MACS_peak_11_lociStitched	chr1(.):752474-753086	0.1061
1_MACS_peak_12_lociStitched	chr1(.):761930-763586	0.2474
1_MACS_peak_13_lociStitched	chr1(.):804880-805785	0.0951
1_MACS_peak_14_lociStitched	chr1(.):839721-840346	0.0638
1_MACS_peak_15_lociStitched	chr1(.):858738-859664	0.0823
2_MACS_peak_16_lociStitched	chr1(.):875681-880448	0.1183
2_MACS_peak_18_lociStitched	chr1(.):894059-902834	0.1323
1_MACS_peak_20_lociStitched	chr1(.):911102-912055	0.1239
2_MACS_peak_21_lociStitched	chr1(.):947920-955267	0.1217
1_MACS_peak_23_lociStitched	chr1(.):967684-968923	0.1189
2_MACS_peak_24_lociStitched	chr1(.):994201-1000185	0.0965
2_MACS_peak_26_lociStitched	chr1(.):1051082-1058196	0.1349
1_MACS_peak_28_lociStitched	chr1(.):1071632-1072637	0.1041
1_MACS_peak_29_lociStitched	chr1(.):1078930-1080270	0.1203
1_MACS_peak_30_lociStitched	chr1(.):1092647-1094048	0.1474
1_MACS_peak_31_lociStitched	chr1(.):1110973-1112013	0.0676
1_MACS_peak_32_lociStitched	chr1(.):1166556-1167652	0.1208
1_MACS_peak_33_lociStitched	chr1(.):1184316-1185900	0.0899
1_MACS_peak_34_lociStitched	chr1(.):1207824-1210315	0.1561
1_MACS_peak_35_lociStitched	chr1(.):1227090-1227786	0.0639
1_MACS_peak_36_lociStitched	chr1(.):1243037-1245338	0.1722
1_MACS_peak_37_lociStitched	chr1(.):1259635-1261415	0.1884
1_MACS_peak_38_lociStitched	chr1(.):1284942-1285492	0.1257
2_MACS_peak_39_lociStitched	chr1(.):1307185-1311842	0.1855
2_MACS_peak_41_lociStitched	chr1(.):1334080-1343916	0.1518
1_MACS_peak_43_lociStitched	chr1(.):1352821-1354011	0.1493
1_MACS_peak_44_lociStitched	chr1(.):1396697-1398840	0.2915
2_MACS_peak_45_lociStitched	chr1(.):1406420-1408871	0.1959
2_MACS_peak_47_lociStitched	chr1(.):1439634-1448489	0.1312
1_MACS_peak_49_lociStitched	chr1(.):1509181-1511043	0.1893
2_MACS_peak_50_lociStitched	chr1(.):1545139-1552140	0.1745
1_MACS_peak_52_lociStitched	chr1(.):1565391-1566496	0.1037
1_MACS_peak_53_lociStitched	chr1(.):1589053-1591715	0.242
2_MACS_peak_54_lociStitched	chr1(.):1605960-1610982	0.2077
1_MACS_peak_56_lociStitched	chr1(.):1622386-1626211	0.198
